Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%)
PZT ,,0.1222893163,133.8468735,
PZT ,,0.1432327554,148.2233143,
PZT ,,0.159812978,166.4587457,
PZT ,,0.1711573408,181.257051,
PZT ,,0.2060630726,218.6852631,
PZT ,,0.2235159385,233.5293622,
PZT ,,0.2383508745,243.0164523,
PZT ,,0.2605547984,258.6036203,
PZT ,,0.2793651094,275.6769264,
PZT ,,0.2976906186,292.8003464,
PZT ,,0.3212519876,311.9922631,
PZT ,,0.3369595669,323.3012299,
PZT ,,0.362944945,347.0893122,
PZT ,,0.3805917317,363.7046804,
PZT ,,0.3997898842,382.3678085,
PZT ,,0.4189880366,395.276472,
PZT ,,0.4381861891,408.8850029,
PZT ,,0.4573843416,423.1934011,
PZT ,,0.4765824941,442.0120552,
PZT ,,0.4957806466,457.4091359,
PZT ,,0.5149787991,471.484245,
PZT ,,0.5359222382,487.0368517,
PZT ,,0.5551203907,500.8786717,
PZT ,,0.5743185432,516.5868045,
PZT ,,0.5935166957,530.1175723,
PZT ,,0.6039884152,535.5609847,
PZT ,,0.6458752934,566.9254082,
PZT ,,-0.02411130233,,
SCP,,-0.004946968964,,
SCP,,-0.008787745939,,
SCP,,-0.01362404652,,
SCP,,-0.02266836171,,
SCP,,-0.01193745823,,
SCP,,-0.02000632765,,
SCP,,-0.03158130015,,
SCP,,-0.01432271858,,
SCP,,-0.03738058039,,
SCP,,-0.02453161068,,
SCP,,-0.01832329144,,
SCP,,-0.04330775635,,
SCP,,-0.03481647082,,
SCP,,-0.05136590734,,
SCP,,-0.02389263163,,
SCP,,-0.03912304609,,
SCP,,-0.04699373157,,
SCP,,-0.05962807676,,
SCP,,-0.07057411503,,
SCP,,-0.0505335858,,
SCP,,-0.02857622552,,
SCP,,-0.07831270476,,
SCP,,-0.08660799463,,
SCP,,-0.05733095699,,
SCP,,-0.05115513056,,
SCP,,-0.09546086288,,
SCP,,-0.03507894453,,
SCP,,-0.06600462798,,
SCP,,-0.1003001076,,
SCP,,-0.07548986685,,
SCP,,-0.04058459401,,
SCP,,-0.05997344142,,
SCP,,-0.08430313693,,
SCP,,-0.06759991308,,
SCP,,-0.1022851995,,
SCP,,-0.09018805567,,
SCP,,-0.07554349106,,
SCP,,-0.04282881213,,
SCP,,-0.05047734985,,
SCP,,-0.08260262422,,
SCP,,-0.1024577416,,
SCP,,-0.05526125569,,
SCP,,-0.09251608271,,
SCP,,-0.07412408952,,
SCP,,-0.05118446158,,
SCP,,-0.08213120603,,
SCP,,-0.065547038,,
SCP,,-0.1033591239,,
SCP,,-0.09429377185,,
SCP,,-0.05859109356,,
SCP,,-0.07650264775,,
SCP,,-0.1037830696,,
SCP,,-0.09591845697,,
SCP,,-0.08325084754,,
SCP,,-0.0660523108,,
SCP,,-0.09773124201,,
SCP,,-0.07352162797,,
SCP,,-0.08619903007,,
SCP,,-0.09768816467,,
SCP,,-0.1024644498,,
SCP,,-0.08047706761,,
SCP,,-0.08593589776,,
SCP,,-0.1035677214,,
SCP,,-0.08528668514,,
SCP,,-0.0919603178,,
SCP,,-0.1021879258,,
SCP,,-0.08691462917,,
SCP,,-0.1032357878,,
DEA,,300,,
DEA,,61,,
DEA,,5,,
DEA,,0.07365285947,13.7066125394895 (kPA),
DEA,,0.6568625335,15.55404429,
DEA,,1.240500318,17.87197,
